ID,Week,Environment,Generation,N0,Census,Person,Setup.Order,Addition,Last.addition,Proportion.new
1,35,0.95,1,20,8,MFO,1,0,20,1
2,35,1.228,1,20,15,MFO,1,0,20,1
3,35,0.857,1,20,10,MFO,1,0,20,1
4,35,0.765,1,20,12,MFO,1,0,20,1
5,35,1.042,1,20,8,MFO,1,0,20,1
6,35,0.857,1,20,22,MFO,1,0,20,1
7,35,1.135,1,20,16,MFO,1,0,20,1
8,35,1.32,1,20,19,MFO,1,0,20,1
9,35,0.95,1,20,14,MFO,1,0,20,1
10,35,0.857,1,20,16,MFO,1,0,20,1
11,35,0.95,1,20,16,MJK,2,0,20,1
12,35,1.32,1,20,20,MJK,2,0,20,1
13,35,1.042,1,20,3,MJK,2,0,20,1
14,35,1.32,1,20,1,MJK,2,0,20,1
15,35,1.042,1,20,7,MJK,2,0,20,1
16,35,0.765,1,20,13,MJK,2,0,20,1
17,35,0.857,1,20,7,MJK,2,0,20,1
18,35,0.95,1,20,15,MJK,2,0,20,1
19,35,1.135,1,20,9,MJK,2,0,20,1
20,35,0.58,1,20,17,MJK,2,0,20,1
21,35,0.95,1,20,15,MJK,3,0,20,1
22,35,0.95,1,20,9,MJK,3,0,20,1
23,35,1.042,1,20,10,MJK,3,0,20,1
24,35,1.32,1,20,4,MJK,3,0,20,1
25,35,1.32,1,20,7,MJK,3,0,20,1
26,35,1.32,1,20,12,MJK,3,0,20,1
27,35,0.58,1,20,10,MJK,3,0,20,1
28,35,1.135,1,20,4,MJK,3,0,20,1
29,35,1.042,1,20,21,MJK,3,0,20,1
30,35,0.58,1,20,10,MJK,3,0,20,1
31,35,0.95,1,20,14,MJK,4,0,20,1
32,35,0.95,1,20,19,MJK,4,0,20,1
33,35,0.95,1,20,25,MJK,4,0,20,1
34,35,0.95,1,20,13,MJK,4,0,20,1
35,35,0.95,1,20,4,MJK,4,0,20,1
36,35,0.95,1,20,12,MJK,4,0,20,1
37,35,0.95,1,20,13,MJK,4,0,20,1
38,35,0.95,1,20,10,MJK,4,0,20,1
39,35,0.95,1,20,19,MJK,4,0,20,1
40,35,0.95,1,20,10,MJK,4,0,20,1
41,35,0.95,1,20,4,MFO,5,0,20,1
42,35,0.95,1,20,16,MFO,5,0,20,1
43,35,0.95,1,20,14,MFO,5,0,20,1
44,35,0.95,1,20,22,MFO,5,0,20,1
45,35,0.95,1,20,16,MFO,5,0,20,1
46,35,0.95,1,20,17,MFO,5,0,20,1
47,35,0.95,1,20,4,MFO,5,0,20,1
48,35,0.95,1,20,20,MFO,5,0,20,1
49,35,0.95,1,20,13,MFO,5,0,20,1
50,35,0.95,1,20,6,MFO,5,0,20,1
51,35,0.95,1,20,18,MFO,6,0,20,1
52,35,0.95,1,20,10,MFO,6,0,20,1
53,35,0.95,1,20,18,MFO,6,0,20,1
54,35,0.95,1,20,18,MFO,6,0,20,1
55,35,0.95,1,20,16,MFO,6,0,20,1
56,35,0.95,1,20,12,MFO,6,0,20,1
57,35,0.95,1,20,6,MFO,6,0,20,1
58,35,0.95,1,20,16,MFO,6,0,20,1
59,35,0.95,1,20,17,MFO,6,0,20,1
60,35,0.95,1,20,13,MFO,6,0,20,1
61,35,0.95,1,10,10,MFO,7,10,10,1
62,35,1.135,1,10,12,MFO,7,10,10,1
63,35,1.228,1,10,0,MFO,7,10,10,1
64,35,1.228,1,10,0,MFO,7,10,10,1
65,35,1.32,1,10,11,MFO,7,10,10,1
66,35,1.042,1,10,2,MFO,7,10,10,1
67,35,1.135,1,10,1,MFO,7,10,10,1
68,35,0.857,1,10,4,MFO,7,10,10,1
69,35,0.58,1,10,9,MFO,7,10,10,1
70,35,0.672,1,10,3,MFO,7,10,10,1
71,35,1.228,1,10,14,MFO,8,10,10,1
72,35,1.042,1,10,5,MFO,8,10,10,1
73,35,1.135,1,10,12,MFO,8,10,10,1
74,35,0.95,1,10,6,MFO,8,10,10,1
75,35,1.228,1,10,0,MFO,8,10,10,1
76,35,0.95,1,10,5,MFO,8,10,10,1
77,35,0.857,1,10,6,MFO,8,10,10,1
78,35,0.765,1,10,3,MFO,8,10,10,1
79,35,1.042,1,10,3,MFO,8,10,10,1
80,35,0.765,1,10,7,MFO,8,10,10,1
81,35,1.042,1,10,5,MJK,9,0,10,1
82,35,1.32,1,10,4,MJK,9,0,10,1
83,35,1.32,1,10,7,MJK,9,0,10,1
84,35,1.042,1,10,3,MJK,9,0,10,1
85,35,1.135,1,10,3,MJK,9,0,10,1
86,35,1.042,1,10,7,MJK,9,0,10,1
87,35,1.042,1,10,6,MJK,9,0,10,1
88,35,1.228,1,10,5,MJK,9,0,10,1
89,35,1.228,1,10,4,MJK,9,0,10,1
90,35,1.228,1,10,2,MJK,9,0,10,1
91,35,0.95,1,10,3,MJK,10,10,10,1
92,35,0.95,1,10,7,MJK,10,10,10,1
93,35,0.95,1,10,3,MJK,10,10,10,1
94,35,0.95,1,10,1,MJK,10,10,10,1
95,35,0.95,1,10,2,MJK,10,10,10,1
96,35,0.95,1,10,8,MJK,10,10,10,1
97,35,0.95,1,10,2,MJK,10,10,10,1
98,35,0.95,1,10,6,MJK,10,10,10,1
99,35,0.95,1,10,11,MJK,10,10,10,1
100,35,0.95,1,10,7,MJK,10,10,10,1
101,35,0.95,1,10,6,MJK,11,10,10,1
102,35,0.95,1,10,1,MJK,11,10,10,1
103,35,0.95,1,10,4,MJK,11,10,10,1
104,35,0.95,1,10,9,MJK,11,10,10,1
105,35,0.95,1,10,9,MJK,11,10,10,1
106,35,0.95,1,10,8,MJK,11,10,10,1
107,35,0.95,1,10,4,MJK,11,10,10,1
108,35,0.95,1,10,13,MJK,11,10,10,1
109,35,0.95,1,10,3,MJK,11,10,10,1
110,35,0.95,1,10,9,MJK,11,0,10,1
