ID,Week,Block,Color,Environment,Generation,N0,Census,Check,Person,notes
1,25,1,blue,100,0,40,91,,,
2,25,1,blue,100,0,40,105,,,
3,25,1,blue,100,0,40,92,,,
4,25,1,blue,100,0,40,129,,,
5,25,1,blue,100,0,40,96,,,
6,25,1,blue,100,0,40,100,,,
7,25,1,blue,100,0,40,97,,,
8,25,1,blue,100,0,40,104,,,
9,25,1,blue,100,0,40,112,,,
10,25,1,blue,100,0,40,74,,,
11,25,1,blue,100,0,40,116,,,
12,25,1,blue,100,0,40,98,,,
13,25,1,blue,100,0,40,117,,,
14,25,1,blue,100,0,40,98,,,
15,25,1,blue,100,0,40,117,,,
16,25,1,blue,100,0,50,108,,,
17,25,1,blue,100,0,50,101,,,
18,25,1,blue,100,0,50,127,,,
19,25,1,blue,100,0,50,108,,,
20,25,1,blue,100,0,50,126,,,
21,25,1,blue,100,0,50,109,,,
22,25,1,blue,100,0,50,153,,,
23,25,1,blue,100,0,50,106,,,
24,25,1,blue,100,0,50,126,,,
25,25,1,blue,100,0,50,124,,,
26,25,1,blue,100,0,50,110,,,
27,25,1,blue,100,0,50,147,,,
28,25,1,blue,100,0,50,110,,,
29,25,1,blue,100,0,50,143,,,
30,25,1,blue,100,0,50,108,,,
1,25,2,green,100,0,40,136,,,
2,25,2,green,100,0,40,137,,,
3,25,2,green,100,0,40,166,,,
4,25,2,green,100,0,40,173,,,
5,25,2,green,100,0,40,156,,,
6,25,2,green,100,0,40,170,,,
7,25,2,green,100,0,40,127,,,
8,25,2,green,100,0,40,136,,,
9,25,2,green,100,0,40,216,,,
10,25,2,green,100,0,40,106,,,
11,25,2,green,100,0,40,194,,,
12,25,2,green,100,0,40,166,,,
13,25,2,green,100,0,40,191,,,
14,25,2,green,100,0,40,183,,,
15,25,2,green,100,0,40,176,,,
16,25,2,green,100,0,50,161,,,
17,25,2,green,100,0,50,180,,,
18,25,2,green,100,0,50,176,,,
19,25,2,green,100,0,50,184,,,
20,25,2,green,100,0,50,195,,,
21,25,2,green,100,0,50,144,,,
22,25,2,green,100,0,50,234,,,
23,25,2,green,100,0,50,192,,,
24,25,2,green,100,0,50,210,,,
25,25,2,green,100,0,50,195,,,
26,25,2,green,100,0,50,190,,,
27,25,2,green,100,0,50,242,,,
28,25,2,green,100,0,50,198,,,
29,25,2,green,100,0,50,239,,,
30,25,2,green,100,0,50,192,,,
1,26,3,pink,100,0,50,145,,,
