ID,block,color,number,size,environment,special,gap,notes,drought
1,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
2,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
3,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
4,1,blue,1,20,fluctuating,FALSE,FALSE,,TRUE
5,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
6,1,blue,1,20,fluctuating,FALSE,FALSE,,TRUE
7,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
8,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
9,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
10,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
11,1,blue,1,20,fluctuating,FALSE,FALSE,,TRUE
12,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
13,1,blue,1,20,fluctuating,FALSE,FALSE,,TRUE
14,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
15,1,blue,1,20,fluctuating,FALSE,FALSE,,TRUE
16,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
17,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
18,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
19,1,blue,1,20,fluctuating,FALSE,FALSE,,TRUE
20,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
21,1,blue,1,20,fluctuating,FALSE,FALSE,,TRUE
22,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
23,1,blue,1,20,fluctuating,FALSE,FALSE,,TRUE
24,1,blue,1,20,fluctuating,FALSE,FALSE,,TRUE
25,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
26,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
27,1,blue,1,20,fluctuating,FALSE,FALSE,,TRUE
28,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
29,1,blue,1,20,fluctuating,FALSE,FALSE,,TRUE
30,1,blue,1,20,fluctuating,FALSE,FALSE,,FALSE
31,1,blue,1,20,stable,FALSE,FALSE,,FALSE
32,1,blue,1,20,stable,FALSE,FALSE,,TRUE
33,1,blue,1,20,stable,FALSE,FALSE,,FALSE
34,1,blue,1,20,stable,FALSE,FALSE,,TRUE
35,1,blue,1,20,stable,FALSE,FALSE,,TRUE
36,1,blue,1,20,stable,FALSE,FALSE,,FALSE
37,1,blue,1,20,stable,FALSE,FALSE,,TRUE
38,1,blue,1,20,stable,FALSE,FALSE,,FALSE
39,1,blue,1,20,stable,FALSE,FALSE,,TRUE
40,1,blue,1,20,stable,FALSE,FALSE,,TRUE
41,1,blue,1,20,stable,FALSE,FALSE,,TRUE
42,1,blue,1,20,stable,FALSE,FALSE,,FALSE
43,1,blue,1,20,stable,FALSE,FALSE,,TRUE
