"ID","block","color","number","size","environment","special","gap","notes","drought","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","temp.extinctions","latest.extinct","loss","when.extinct","extant1","extant2","extant3","extant4","extant5","extant6","extant7","extant8","extant9","extant_1_after","extant_2_after","extant_3_after","extant_4_after","extant_5_after"
1,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",FALSE,8,19,29,36,40,79,89,29,37,34,0,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",FALSE,15,29,14,8,17,4,8,3,9,17,0,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",FALSE,10,16,28,10,4,0,NA,NA,NA,NA,0,0,0,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
4,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",TRUE,12,29,33,26,51,117,44,31,47,28,0,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",FALSE,8,17,25,21,37,44,43,22,26,24,0,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",TRUE,22,15,28,34,35,83,55,27,31,22,0,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",FALSE,16,49,21,27,19,40,52,52,29,25,0,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",FALSE,19,17,7,2,10,16,14,11,19,10,0,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",FALSE,14,27,13,17,7,29,34,16,17,19,0,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",FALSE,16,33,50,24,40,57,76,42,20,15,0,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",TRUE,16,48,48,44,63,90,42,26,25,38,0,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",FALSE,20,65,51,25,41,46,51,35,30,16,0,0,0,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
13,1,"blue",1,20,"fluctuating",FALSE,FALSE,"",TRUE,3,6,1,0,NA,NA,NA,NA,NA,NA,0,0,0,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
