ID,block,environment,setup.order,N0,census,check
1,1,0.95,5,5,2,2
2,1,0.95,5,5,16,16
3,1,0.95,5,5,0,0
4,1,0.95,5,5,7,7
5,1,0.95,5,5,0,0
6,1,0.95,4,10,12,12
7,1,0.95,4,10,18,18
8,1,0.95,4,10,11,11
9,1,0.95,4,10,13,13
10,1,0.95,4,10,17,17
11,1,0.95,6,20,17,17
12,1,0.95,6,20,21,21
13,1,0.95,6,20,24,24
14,1,0.95,6,20,29,29
15,1,0.95,6,20,34,34
16,1,0.95,2,30,27,27
17,1,0.95,2,30,19,19
18,1,0.95,2,30,26,26
19,1,0.95,2,30,16,16
20,1,0.95,2,30,46,46
21,1,0.95,3,50,38,38
22,1,0.95,3,50,50,50
23,1,0.95,3,50,31,31
24,1,0.95,3,50,33,33
25,1,0.95,3,50,44,44
26,1,0.95,1,75,59,59
27,1,0.95,1,75,38,38
28,1,0.95,1,75,37,37
29,1,0.95,1,75,34,34
30,1,0.95,1,75,37,37
1,2,0.95,6,5,17,17
2,2,0.95,6,5,13,13
3,2,0.95,6,5,12,12
4,2,0.95,6,5,11,11
5,2,0.95,6,5,8,8
6,2,0.95,1,10,4,4
7,2,0.95,1,10,13,13
8,2,0.95,1,10,15,15
9,2,0.95,1,10,14,14
10,2,0.95,1,10,11,11
11,2,0.95,5,20,29,29
12,2,0.95,5,20,18,18
13,2,0.95,5,20,8,8
14,2,0.95,5,20,12,12
15,2,0.95,5,20,30,30
16,2,0.95,3,30,24,24
17,2,0.95,3,30,17,17
18,2,0.95,3,30,13,13
19,2,0.95,3,30,17,17
20,2,0.95,3,30,20,20
21,2,0.95,2,50,21,21
22,2,0.95,2,50,23,23
23,2,0.95,2,50,51,51
24,2,0.95,2,50,39,39
25,2,0.95,2,50,26,26
26,2,0.95,4,75,30,30
27,2,0.95,4,75,41,41
28,2,0.95,4,75,47,47
29,2,0.95,4,75,35,35
30,2,0.95,4,75,29,29
1,3,0.95,7,5,10,10
2,3,0.95,7,5,11,11
3,3,0.95,7,5,8,8
4,3,0.95,7,5,4,4
5,3,0.95,7,5,11,11
6,3,0.95,6,10,10,10
7,3,0.95,6,10,18,18
8,3,0.95,6,10,11,11
9,3,0.95,6,10,6,6
10,3,0.95,6,10,22,22
11,3,0.95,2,20,19,19
12,3,0.95,2,20,18,18
13,3,0.95,2,20,17,17
14,3,0.95,2,20,12,12
15,3,0.95,2,20,9,9
16,3,0.95,1,30,18,18
17,3,0.95,1,30,21,21
18,3,0.95,1,30,20,20
19,3,0.95,1,30,24,24
20,3,0.95,1,30,20,20
21,3,0.95,4,50,16,16
22,3,0.95,4,50,29,29
23,3,0.95,4,50,16,16
24,3,0.95,4,50,30,30
25,3,0.95,4,50,28,28
26,3,0.95,5,75,43,43
27,3,0.95,5,75,38,38
28,3,0.95,5,75,31,31
29,3,0.95,5,75,36,36
30,3,0.95,5,75,22,22
31,3,0.95,3,200,48,48
32,3,0.95,9,200,36,36
33,3,0.95,10,200,33,33
1,4,0.95,2,5,4,4
2,4,0.95,2,5,8,8
3,4,0.95,2,5,17,17
4,4,0.95,2,5,12,12
5,4,0.95,2,5,15,15
6,4,0.95,3,10,13,13
7,4,0.95,3,10,7,7
8,4,0.95,3,10,4,4
9,4,0.95,3,10,17,17
10,4,0.95,3,10,8,8
11,4,0.95,4,20,19,19
12,4,0.95,4,20,17,17
13,4,0.95,4,20,31,31
14,4,0.95,4,20,37,37
15,4,0.95,4,20,21,21
16,4,0.95,7,30,28,28
17,4,0.95,7,30,18,18
18,4,0.95,7,30,14,14
19,4,0.95,7,30,27,27
20,4,0.95,7,30,23,23
21,4,0.95,6,50,25,25
22,4,0.95,6,50,57,57
23,4,0.95,6,50,36,36
24,4,0.95,6,50,18,18
25,4,0.95,6,50,30,30
26,4,0.95,1,75,69,69
27,4,0.95,1,75,39,39
28,4,0.95,1,75,35,35
29,4,0.95,1,75,56,56
30,4,0.95,1,75,45,45
31,4,0.95,5,200,55,55
32,4,0.95,8,200,64,64
