batch,At,Atp1
3.1,2,11
3.1,2,0
3.1,2,6
3.1,2,5
3.1,2,1
3.1,6,6
3.1,6,23
3.1,6,16
3.1,6,20
3.1,6,0
3.1,10,39
3.1,18,38
3.1,28,77.734375
3.1,46,112.8
3.1,77.77777778,139.0243902
3.1,130.2222222,224.1803279
3.1,214.6666667,241.3934426
3.1,358.2222222,278.2258065
3.1,600.4444444,249.5726496
3.1,997.7777778,56
3.2,2,0
3.2,2,19
3.2,2,0
3.2,2,31
3.2,2,0
3.2,6,12
3.2,6,2
3.2,6,22
3.2,6,11
3.2,6,40
3.2,10,27
3.2,18,42
3.2,28,38
3.2,46,104.4247788
3.2,78.22222222,120.0892857
3.2,128.4444444,132.8703704
3.2,215.1111111,233.7962963
3.2,363.1111111,209.4339623
3.2,601.7777778,116.2162162
3.2,1000,78
3.3,2,0
3.3,2,0
3.3,2,0
3.3,2,17
3.3,2,5
3.3,6,23
3.3,6,13
3.3,6,11
3.3,6,2
3.3,6,12
3.3,10,17
3.3,18,64
3.3,28,85.34482759
3.3,46,66
3.3,78.01578354,161.1607143
3.3,130.3269448,183.7606838
3.3,214.6561443,244.4954128
3.3,359.8647125,368.6868687
3.3,600.2254791,135.6481481
3.3,1001.578354,46
